,country,score,coop,ISO3
0,Afghanistan,,,AFG
1,Albania,,,ALB
2,Algeria,0.4,Low,DZA
3,American Samoa,,,ASM
4,Andorra,,,AND
5,Angola,,,AGO
6,Antigua and Barbuda,,,ATG
7,Argentina,0.4,Low,ARG
8,Armenia,1.1,High,ARM
9,Aruba,,,ABW
10,Australia,,,AUS
11,Austria,,,AUT
12,Azerbaijan,0.2,Very low,AZE
13,Bahamas,,,BHS
14,Bahrain,,,BHR
15,Bangladesh,1.1,High,BGD
16,Barbados,,,BRB
17,Belarus,2.7,High,BLR
18,Belgium,,,BEL
19,Belize,,,BLZ
20,Benin,,,BEN
21,Bermuda,,,BMU
22,Bhutan,,,BTN
23,Bolivia,0.5,Low,BOL
24,Bosnia and Herzegovina,,,BIH
25,Botswana,,,BWA
26,Brazil,0.4,Low,BRA
27,British Virgin Islands,,,VGB
28,Brunei Darussalam,,,BRN
29,Bulgaria,1.0,Medium,BGR
30,Burkina Faso,,,BFA
31,Burundi,0.1,Very low,BDI
32,Cabo Verde,,,CPV
33,Cambodia,0.2,Very low,KHM
34,Cameroon,,,CMR
35,Canada,,,CAN
36,Cayman Islands,,,CYM
37,Central African Republic,,,CAF
38,Chad,,,TCD
39,Chile,0.1,Very low,CHL
40,China,1.4,High,CHN
41,Colombia,,,COL
42,Comoros,,,COM
43,Congo Republic,0.2,Very low,COG
44,Costa Rica,0.1,Very low,CRI
45,Cote d'Ivoire,,,CIV
46,Croatia,,,HRV
47,Cuba,0.1,Very low,CUB
48,Curacao,,,CUW
49,Cyprus,,,CYP
50,Czechia,0.7,Medium,CZE
51,DR Congo,0.2,Very low,COD
52,Denmark,,,DNK
53,Djibouti,,,DJI
54,Dominica,,,DMA
55,Dominican Republic,0.1,Very low,DOM
56,Ecuador,,,ECU
57,Egypt,1.4,High,EGY
58,El Salvador,,,SLV
59,Equatorial Guinea,,,GNQ
60,Eritrea,,,ERI
61,Estonia,,,EST
62,Eswatini,,,SWZ
63,Ethiopia,0.5,Low,ETH
64,Faroe Islands,,,FRO
65,Fiji,,,FJI
66,Finland,0.8,Medium,FIN
67,France,,,FRA
68,French Polynesia,,,PYF
69,Gabon,,,GAB
70,Gambia,,,GMB
71,Georgia,,,GEO
72,Germany,,,DEU
73,Ghana,0.3,Low,GHA
74,Gibraltar,,,GIB
75,Greece,,,GRC
76,Greenland,,,GRL
77,Grenada,,,GRD
78,Guam,,,GUM
79,Guatemala,,,GTM
80,Guinea,,,GIN
81,Guinea-Bissau,,,GNB
82,Guyana,,,GUY
83,Haiti,,,HTI
84,Honduras,,,HND
85,Hong Kong,,,HKG
86,Hungary,1.4,High,HUN
87,Iceland,,,ISL
88,India,2.7,High,IND
89,Indonesia,0.5,Low,IDN
90,Iran,2.8,High,IRN
91,Iraq,,,IRQ
92,Ireland,,,IRL
93,Isle of Man,,,IMN
94,Israel,,,ISR
95,Italy,,,ITA
96,Jamaica,,,JAM
97,Japan,,,JPN
98,Jordan,0.3,Low,JOR
99,Kazakhstan,0.2,Very low,KAZ
100,Kenya,0.6,Medium,KEN
101,Kiribati,,,KIR
102,Kosovo,,,XKX
103,Kuwait,0.3,Low,KWT
104,Kyrgyz Republic,0.3,Low,KGZ
105,Laos,,,LAO
106,Latvia,,,LVA
107,Lebanon,,,LBN
108,Lesotho,,,LSO
109,Liberia,,,LBR
110,Libya,,,LBY
111,Liechtenstein,,,LIE
112,Lithuania,,,LTU
113,Luxembourg,,,LUX
114,Macau,,,MAC
115,Madagascar,,,MDG
116,Malawi,,,MWI
117,Malaysia,,,MYS
118,Maldives,,,MDV
119,Mali,,,MLI
120,Malta,,,MLT
121,Marshall Islands,,,MHL
122,Mauritania,,,MRT
123,Mauritius,,,MUS
124,Mexico,,,MEX
125,"Micronesia, Fed. Sts.",,,FSM
126,Moldova,,,MDA
127,Monaco,,,MCO
128,Mongolia,0.2,Very low,MNG
129,Montenegro,,,MNE
130,Morocco,,,MAR
131,Mozambique,,,MOZ
132,Myanmar,,,MMR
133,Namibia,,,NAM
134,Nauru,,,NRU
135,Nepal,,,NPL
136,Netherlands,,,NLD
137,New Caledonia,,,NCL
138,New Zealand,,,NZL
139,Nicaragua,,,NIC
140,Niger,,,NER
141,Nigeria,0.8,Medium,NGA
142,North Korea,,,PRK
143,North Macedonia,,,MKD
144,Northern Mariana Islands,,,MNP
