country,iso3,date,gdp_pc,poverty,pop,region
United States,USA,1990-01-01,44395.1314543953,0.5,249623000.0,Americas
United Kingdom,GBR,1990-01-01,35551.8271474522,0.0,57247586.0,Europe
Tunisia,TUN,1990-01-01,6591.28737405498,9.3,8440023.0,Africa
Thailand,THA,1990-01-01,8624.42898149985,12.3,55228410.0,Asia
Sri Lanka,LKA,1990-01-01,4335.77214930913,11.6,17204094.0,Asia
Spain,ESP,1990-01-01,31353.7109884573,0.5,38867322.0,Europe
Paraguay,PRY,1990-01-01,9904.93186364106,1.2,4059195.0,Americas
Pakistan,PAK,1990-01-01,3220.28710177191,65.1,115414069.0,Asia
Netherlands,NLD,1990-01-01,43048.8783630632,1.0,14951510.0,Europe
Morocco,MAR,1990-01-01,4383.09521484375,4.7,24570814.0,Africa
Luxembourg,LUX,1990-01-01,82483.0106261715,0.0,381850.0,Europe
Jamaica,JAM,1990-01-01,8697.74951376621,2.9,2392030.0,Americas
"Iran, Islamic Rep.",IRN,1990-01-01,9465.96349773004,8.8,55793629.0,Asia
Indonesia,IDN,1990-01-01,4915.19368023377,61.8,182159874.0,Asia
Honduras,HND,1990-01-01,4363.30886212612,42.0,5053234.0,Americas
France,FRA,1990-01-01,40540.1414827963,0.2,58044701.0,Europe
"Egypt, Arab Rep.",EGY,1990-01-01,8172.0289644652,5.2,57214630.0,Africa
Costa Rica,CRI,1990-01-01,10957.1724471431,10.4,3158253.0,Americas
China,CHN,1990-01-01,1645.57894422679,72.0,1135185000.0,Asia
Chile,CHL,1990-01-01,11142.4574285939,10.7,13342868.0,Americas
Canada,CAN,1990-01-01,39863.0660385958,1.2,27691138.0,Americas
Brazil,BRA,1990-01-01,12502.2479633803,24.0,150706446.0,Americas
Bolivia,BOL,1990-01-01,5149.00339290039,1.1,7096194.0,Americas
Zambia,ZMB,1991-01-01,2395.22681770979,57.4,7880466.0,Africa
United States,USA,1991-01-01,43758.395353687,0.5,252981000.0,Americas
United Kingdom,GBR,1991-01-01,35051.0847103796,0.0,57424897.0,Europe
Tanzania,TZA,1991-01-01,1778.32836914063,69.3,26890906.0,Africa
Senegal,SEN,1991-01-01,2988.03569937046,70.1,7754289.0,Africa
Panama,PAN,1991-01-01,12201.7255405379,20.1,2502044.0,Americas
Norway,NOR,1991-01-01,58736.6124093388,0.5,4261732.0,Europe
Luxembourg,LUX,1991-01-01,88420.4727718772,0.0,387000.0,Europe
Italy,ITA,1991-01-01,43525.3212820567,0.2,56758521.0,Europe
Honduras,HND,1991-01-01,4101.86950997796,30.8,5196887.0,Americas
Guinea-Bissau,GNB,1991-01-01,1847.48534043607,42.4,993856.0,Africa
Guinea,GIN,1991-01-01,2101.32983621489,88.0,6615734.0,Africa
Ghana,GHA,1991-01-01,2849.72324973575,64.2,15843471.0,Africa
Germany,DEU,1991-01-01,44421.7216704938,0.0,80013896.0,Europe
Finland,FIN,1991-01-01,36649.8292781084,0.0,5013740.0,Europe
El Salvador,SLV,1991-01-01,5997.17321683681,22.1,5461070.0,Americas
Costa Rica,CRI,1991-01-01,10924.6809778732,12.4,3239414.0,Americas
Colombia,COL,1991-01-01,10125.0639563127,12.8,33272628.0,Americas
Canada,CAN,1991-01-01,38547.4652657194,1.2,28037420.0,Americas
