,Country,Value,Indicator
0,Australia,1684100.0,Reserves
1,Kazakhstan,815200.0,Reserves
2,Canada,588500.0,Reserves
3,Russia,480900.0,Reserves
4,Namibia,470100.0,Reserves
5,South Africa,320900.0,Reserves
6,Niger,311100.0,Reserves
7,Brazil,276800.0,Reserves
8,China,223900.0,Reserves
9,Mongolia,144600.0,Reserves
10,Uzbekistan,131300.0,Reserves
11,Ukraine,107200.0,Reserves
12,Botswana,87200.0,Reserves
13,USA,59400.0,Reserves
14,Tanzania,58200.0,Reserves
15,Jordan,52500.0,Reserves
16,Other,266600.0,Reserves
17,Australia,0.28,Shares
18,Kazakhstan,0.13,Shares
19,Canada,0.1,Shares
20,Russia,0.08,Shares
21,Namibia,0.08,Shares
22,South Africa,0.05,Shares
23,Niger,0.05,Shares
24,Brazil,0.05,Shares
25,China,0.04,Shares
26,Mongolia,0.02,Shares
27,Uzbekistan,0.02,Shares
28,Ukraine,0.02,Shares
29,Botswana,0.01,Shares
30,USA,0.01,Shares
31,Tanzania,0.01,Shares
32,Jordan,0.01,Shares
33,Other,0.05,Shares
